"ZipCode","PlaceName",State,County,Lat,Long,RAND #s
60602,Chicago,IL,Cook,41.8829,-87.6321,0.00344926580279015
48244,Detroit,MI,Wayne,42.2399,-83.1508,0.00345295976992721
11756,Levittown,NY,Nassau,40.7254,-73.5166,0.00346277811589613
68665,Spalding,NE,Greeley,41.6874,-98.3715,0.00347993172939898
94132,San Francisco,CA,City and County of San Francisco,37.7211,-122.4754,0.00348204826159237
37317,Copperhill,TN,Polk,35.0207,-84.3748,0.00357696356610138
8840,Metuchen,NJ,Middlesex,40.5449,-74.3517,0.0035847528072076
24566,Keeling,VA,Pittsylvania,36.7156,-79.2783,0.00360312432184173
78768,Austin,TX,Travis,30.2672,-97.7431,0.00363901058443827
60119,Elburn,IL,Kane,41.8824,-88.4611,0.003646888037251
30006,Marietta,GA,Cobb,33.9526,-84.5499,0.00366527793741178
41859,Dema,KY,Knott,37.3976,-82.7836,0.0036718541666787
17847,Milton,PA,Northumberland,41.0168,-76.8398,0.00368869299363395
92602,Irvine,CA,Orange,33.7419,-117.7467,0.00372786660277713
6512,New Haven,CT,New Haven,41.3082,-72.9282,0.00375928784549151
55418,Minneapolis,MN,Hennepin,45.0192,-93.2401,0.00376496977951279
52066,North Buena Vista,IA,Clayton,42.6783,-90.9518,0.00376745259553346
45033,Hooven,OH,Hamilton,39.1773,-84.7627,0.00377202744917537
72419,Caraway,AR,Craighead,35.759,-90.3358,0.00380724926104914
65570,Success,MO,Texas,37.4626,-92.0909,0.00383646334946608
68735,Ewing,NE,Holt,42.1851,-98.3981,0.00386220497305989
47854,Hillsdale,IN,Vermillion,39.7712,-87.4041,0.00386395652409755
44444,Newton Falls,OH,Trumbull,41.191,-80.9701,0.00389585063541875
81131,Crestone,CO,Saguache,37.953,-105.6879,0.00390732030396723
93670,Yettem,CA,Tulare,36.4718,-119.2594,0.00392228005528061
58758,Martin,ND,Sheridan,47.7781,-100.1225,0.00393111965167015
97833,Haines,OR,Baker,44.8776,-117.9756,0.00395771208648055
33158,Miami,FL,Miami-Dade,25.6364,-80.3187,0.00401932676343852
55101,Saint Paul,MN,Ramsey,44.9512,-93.0902,0.00407776825574624
98195,Seattle,WA,King,47.6564,-122.3048,0.00409774744469171
52310,Monticello,IA,Jones,42.2326,-91.1989,0.00410415684425503
31698,Valdosta,GA,Lowndes,30.8485,-83.2878,0.00412165045089574
75439,Ector,TX,Fannin,33.5819,-96.2735,0.00412227213401306
75041,Garland,TX,Dallas,32.8794,-96.6411,0.00413212005714958
66937,Clifton,KS,Washington,39.6201,-97.2611,0.00418603858226774
49088,Scotts,MI,Kalamazoo,42.1819,-85.4685,0.00419818386301885
83116,Diamondville,WY,Lincoln,41.7839,-110.54,0.00421449703098864
27826,Fairfield,NC,Hyde,35.5659,-76.2318,0.00421693932122003
72842,Havana,AR,Yell,35.0832,-93.5955,0.00424070375215369
46350,La Porte,IN,LaPorte,41.5994,-86.7077,0.00430943889682556
37729,Duff,TN,Campbell,36.5086,-84.0454,0.00432202826261996
42444,Poole,KY,Webster,37.641,-87.6439,0.00436640205012273
12405,Acra,NY,Greene,42.3304,-74.0857,0.0043705675017699
11005,Floral Park,NY,Queens,40.7571,-73.7182,0.00438531600879377
29342,Gaffney,SC,Cherokee,34.9963,-81.6524,0.00438685253242044
45854,Lafayette,OH,Allen,40.7582,-83.9499,0.00442767320687487
33913,Fort Myers,FL,Lee,26.5228,-81.7065,0.00453580963962741
30161,Rome,GA,Floyd,34.2507,-85.1465,0.00455885216399077
10960,Nyack,NY,Rockland,41.0914,-73.9252,0.00458703938964089
31058,Mauk,GA,Taylor,32.509,-84.3999,0.00458848827255376
39819,Bainbridge,GA,Decatur,30.9039,-84.569,0.00464940396159719
98614,Chinook,WA,Pacific,46.2729,-123.9454,0.00466970947130774
59729,Ennis,MT,Madison,45.3545,-111.687,0.0047104704767047
31033,Haddock,GA,Jones,33.0519,-83.4312,0.00471102058140593
25630,Lorado,WV,Logan,37.7957,-81.7148,0.00473626834225116
42206,Auburn,KY,Logan,36.8818,-86.7198,0.0047390947991256
54701,Eau Claire,WI,Eau Claire,44.784,-91.4877,0.00484138289177849
40729,East Bernstadt,KY,Laurel,37.2488,-84.138,0.00484932085126955
33637,Tampa,FL,Hillsborough,28.0338,-82.3659,0.00489953044684011
78257,San Antonio,TX,Bexar,29.6495,-98.6137,0.00491752450305272
99155,Nespelem,WA,Okanogan,48.1434,-119.0094,0.00491823019589521
34264,Oneco,FL,Manatee,27.4475,-82.5462,0.00492858988488476
65261,Keytesville,MO,Chariton,39.4794,-92.9302,0.00493180481926636
38820,Algoma,MS,Pontotoc,34.1715,-89.0328,0.00493341290200133
17748,Mc Elhattan,PA,Clinton,41.1355,-77.37,0.00495540798715821
45327,Germantown,OH,Montgomery,39.6244,-84.3764,0.00496402207086422
61801,Urbana,IL,Champaign,40.1095,-88.2036,0.0049791053387952
59253,Peerless,MT,Daniels,48.7808,-105.8006,0.00504596101750532
59732,Glen,MT,Beaverhead,45.4766,-112.6906,0.00506410651929057
12770,Pond Eddy,NY,Sullivan,41.4511,-74.841,0.00506912216308364
70166,New Orleans,LA,Orleans,29.9546,-90.0751,0.00511527425850811
62985,Simpson,IL,Johnson,37.4673,-88.7551,0.00513340659819805
32277,Jacksonville,FL,Duval,30.3704,-81.5864,0.00513623624321746
80807,Burlington,CO,Kit Carson,39.3106,-102.2583,0.00516787850686218
50478,Thompson,IA,Winnebago,43.3875,-93.7517,0.00521097421205596
74051,Ochelata,OK,Washington,36.5947,-95.9691,0.00523255440555137
85281,Tempe,AZ,Maricopa,33.4227,-111.9261,0.0052424853391817
98433,Tacoma,WA,Pierce,47.1125,-122.5891,0.00526845132148668
71447,Lena,LA,Rapides,31.4207,-92.8312,0.00530238234083535
26285,Norton,WV,Randolph,38.9318,-79.9656,0.00531639437929476
97308,Salem,OR,Marion,44.9429,-123.0351,0.00545230860426482
30081,Smyrna,GA,Cobb,33.8588,-84.7106,0.00546621643267808
63441,Frankford,MO,Pike,39.4892,-91.3031,0.00546862604815301
34101,Naples,FL,Collier,26.1423,-81.796,0.00547436819006264
8650,Trenton,NJ,Mercer,40.2805,-74.712,0.00552618343657363
55318,Chaska,MN,Carver,44.8061,-93.6083,0.00553159233513334
31062,Milledgeville,GA,Baldwin,33.0491,-83.2174,0.00554386508114257
20814,Bethesda,MD,Montgomery,39.0003,-77.1022,0.0055575601091985
12920,Chateaugay,NY,Franklin,44.9088,-74.0741,0.00557138660556855
72469,Strawberry,AR,Lawrence,35.9673,-91.2935,0.00561539414241585
84304,Cache Junction,UT,Cache,41.8169,-111.9982,0.00567589635981347
79336,Levelland,TX,Hockley,33.5788,-102.3676,0.00570235248336648
27207,Bear Creek,NC,Chatham,35.6129,-79.3726,0.00572146188533274
80402,Golden,CO,Jefferson,39.7555,-105.2211,0.00573974789091458
79316,Brownfield,TX,Terry,33.1698,-102.2762,0.00576248734083162
59077,Sand Springs,MT,Garfield,47.1008,-107.4856,0.00577887950611089
56115,Balaton,MN,Lyon,44.2253,-95.8838,0.00578984874782895
39173,Tinsley,MS,Yazoo,32.7628,-90.3628,0.00581425781725309
64020,Concordia,MO,Lafayette,38.9776,-93.5812,0.00585926214496169
28075,Harrisburg,NC,Cabarrus,35.3247,-80.6594,0.00587466552169225
63010,Arnold,MO,Jefferson,38.4305,-90.387,0.0058767506927373
2718,East Taunton,MA,Bristol,41.8736,-71.0192,0.00595986670970905
19608,Reading,PA,Berks,40.3113,-76.0345,0.00597859994205774
12184,Valatie,NY,Columbia,42.4321,-73.6683,0.00598584226751153
25266,Newton,WV,Roane,38.606,-81.1623,0.00598936215613699
21093,Lutherville Timonium,MD,Baltimore,39.4332,-76.6546,0.00602534172000668
1222,Ashley Falls,MA,Berkshire,42.0596,-73.3202,0.00603357496863022
20074,Washington,DC,District of Columbia,38.8933,-77.0146,0.00606733423524042
47683,Somerville,IN,Gibson,38.2764,-87.3778,0.00606915085456217
97303,Salem,OR,Marion,44.9927,-123.0167,0.0061482978343298
77878,Snook,TX,Burleson,30.4702,-96.4804,0.00626522895830295
25076,Ethel,WV,Logan,37.8665,-81.9123,0.00630320810203211
45404,Dayton,OH,Montgomery,39.7862,-84.1622,0.00630896808440939
86343,Crown King,AZ,Yavapai,34.2241,-112.334,0.00635795141885742
28543,Tarawa Terrace,NC,Onslow,34.7354,-77.3831,0.00637719742235465
91423,Sherman Oaks,CA,Los Angeles,34.1526,-118.4322,0.00639872479402193
54512,Boulder Junction,WI,Vilas,46.1112,-89.6325,0.00640161906398284
20011,Washington,DC,District of Columbia,38.9518,-77.0203,0.00640511983089998
52625,Donnellson,IA,Lee,40.6612,-91.5745,0.00640727943170338
35285,Birmingham,AL,Jefferson,33.5446,-86.9292,0.00644664348655277
84315,Hooper,UT,Weber,41.1668,-112.1364,0.0064643348691924
35648,Lexington,AL,Lauderdale,34.9559,-87.3935,0.00653078511780381
26559,Barrackville,WV,Marion,39.5052,-80.1725,0.00654182732951869
60169,Hoffman Estates,IL,Cook,42.0493,-88.1065,0.00654677401639492
92222,Bard,CA,Imperial,32.7822,-114.5619,0.00655882509616634
33023,Hollywood,FL,Broward,25.9894,-80.2153,0.00661235289310913
40068,Smithfield,KY,Henry,38.3933,-85.2656,0.00661365767995481
39288,Pearl,MS,Rankin,32.2746,-90.132,0.0066213650424245
4414,Brownville,ME,Piscataquis,45.3412,-69.0423,0.00664443915266078
50078,Ferguson,IA,Marshall,41.9374,-92.865,0.00665034811644993
41230,Louisa,KY,Lawrence,38.1043,-82.6056,0.00667528433424425
17536,Kirkwood,PA,Lancaster,39.8257,-76.0933,0.00668648768173397
11351,Flushing,NY,Queens,40.7817,-73.8317,0.00675136008972521
79934,El Paso,TX,El Paso,31.9386,-106.4073,0.00676815233437056
12804,Queensbury,NY,Warren,43.329,-73.6818,0.0067699626439629
58257,Mayville,ND,Traill,47.5014,-97.3176,0.00678134344693537
40927,Closplint,KY,Harlan,36.8713,-83.0414,0.00680158568163702
29404,Charleston Afb,SC,Charleston,32.8982,-80.0686,0.00680793589486561
82838,Parkman,WY,Sheridan,44.965,-107.3254,0.00684256686721108
98382,Sequim,WA,Clallam,48.0881,-123.1198,0.00685343841108776
18439,Lakewood,PA,Wayne,41.8171,-75.3838,0.00687050510973242
83842,Medimont,ID,Kootenai,47.4625,-116.5683,0.00693705984510706
45891,Van Wert,OH,Van Wert,40.8689,-84.5904,0.00695120064115284
80248,Denver,CO,Denver,39.7392,-104.9847,0.00704488045620011
28771,Robbinsville,NC,Graham,35.3259,-83.7888,0.00708629234382474
4841,Rockland,ME,Knox,44.1123,-69.1139,0.00709673540552402
50167,Minburn,IA,Dallas,41.7562,-94.015,0.00710475467205241
33186,Miami,FL,Miami-Dade,25.6694,-80.4085,0.00710842001459955
45044,Middletown,OH,Butler,39.5151,-84.3983,0.00711128248812099
93386,Bakersfield,CA,Kern,35.2944,-118.9052,0.00713509743512641
58318,Bottineau,ND,Bottineau,48.8451,-100.4329,0.00714969369168406
